Category,No.,Name,City,Country,Continent,Lat,Long,Wall,Adj Lat,Y,,Adj Long,,X coordinate,From corner,Image,Fact
C,,Mt Denali,Alaska,United States,North America,63.069169,-151.006984,North,34.94136787,118.0827572,-140,11.006984,6.25,14.58043037,51.41956963,,
,,Mont Blanc,,Aosta Valley,Italy,45.8326,6.8652,North,25.39202216,102.3096758,-140,146.8652,6.25,-49.09592797,115.095928,,
C,1,Grand Canyon,Nevada,Arizona,North America,36.042383,-112.090534,North,19.96807922,94.96720333,-140,27.909466,6.25,39.70260784,26.29739216,,
C,2,Eastern Island,,Polynesian Triange,Asia,-27.11734,-109.350371,North,-15.02345706,53.29579445,-140,30.649629,6.25,44.41513017,21.58486983,,
,,Austin,Austin,United States,North America,30.339456,-97.718716,West,16.80856288,90.92662718,-50,47.718716,5.5,72.51912965,,,
C,1,Chichen Itza,Cancun,Mexico,North America,20.68294,-88.568693,West,11.45869252,84.37134027,-50,38.568693,5.5,52.59125458,,,
C,5,Machu Picchu,,Peru,South America,-13.163256,-72.54522,West,-7.292662604,62.55812407,-50,22.54522,5.5,27.38370845,,,
C,6,Home,Melrose,USA,North America,42.448042,-71.050601,West,23.51692078,99.70446373,-50,21.050601,5.5,25.38781309,,,
C,,Aconcagua,Mendoza,Argentina,South America,-32.653179,-70.010868,West,-18.09040388,49.4518,-50,20.010868,5.5,24.02297908,,,
C,1,Cristo Redemptor,Rio De Janeiro,Brazil,South America,-22.951949,-43.210477,West,-12.71576122,56.11498231,-50,6.789523,5.5,7.853762482,,,
C,2,Stonehenge,Wiltshire,England,Europe,51.178774,-1.826341,West,28.35389141,106.5960783,-50,48.173659,5.5,73.68549198,,,
C,3,Mont St Michel,,France,Europe,48.635651,-1.511226,West,26.944959,104.5290572,-50,48.488774,5.5,74.50555179,,,
C,4,Sagrada Familia,Barcelona,Spain,Europe,41.403437,2.174336,South,22.93819224,98.91555757,40,37.825664,6.25,58.18956722,,,
C,5,Eiffel Tower,Paris,France,Europe,48.85825,2.294149,South,27.06828255,104.7078834,40,37.705851,6.25,57.9388576,,,
,,,Bern,Switzerland,,46.947974,7.447447,South,26.00995789,103.185748,40,32.552553,6.25,47.84663815,,,
,,,Zurich (non capital),Switzerland,,-36.84414474,8.541694,South,-20.41226855,46.45230189,40,31.458306,6.25,45.85633523,,,
C,1,St Peters,Vatican City,Italy,Europe,41.902165,12.453372,South,23.21449584,99.29135465,40,27.546628,6.25,39.09688714,,,
C,2,Colosseum,Rome,Italy,Europe,41.890173,12.492196,South,23.20785208,99.2823004,40,27.507804,6.25,39.03231197,,,
C,3,The Little Mermaid,Copenhagen,Denmark,Europe,55.69286,12.599122,South,30.85477008,110.4050102,40,27.400878,6.25,38.85469906,,,
C,4,Berlin Wall,Berlin,Germany,Europe,52.534241,13.388931,South,29.10484266,107.7201748,40,26.611069,6.25,37.55323753,,,
,,,Prague,Czechia,,50.075538,14.4378,South,27.74268033,105.6928348,40,25.5622,6.25,35.852318,,,
,,,Ljubljana,Slovenia,,46.056947,14.505751,South,25.51631413,102.4851624,40,25.494249,6.25,35.7431618,,,
,,,Zagreb,Croatia,,45.815011,15.981919,South,25.38227756,102.2959328,40,24.018081,6.25,33.40141346,,,
,,,Vienna,Austria,,48.208174,16.373819,South,26.70812964,104.1867336,40,23.626181,6.25,32.78883786,,,
C,1,Cape of Good Hope,,South Africa,Africa,-34.356889,18.473986,South,-19.03428753,48.24262704,40,21.526014,6.25,29.56612273,,,
,,,Budapest,Hungary,,47.497912,19.040235,South,26.31463269,103.621084,40,20.959765,6.25,28.71344196,,,
C,1,Auschwitz,Auschwitz,Poland,Europe,50.027301,19.201969,South,27.71595623,105.6535746,40,20.798031,6.25,28.47108641,,,
,,,Podgorica,Montenegro,,42.43042,19.259364,South,23.50715789,99.69109826,40,20.740636,6.25,28.38520596,,,
,,,Tirana,Albania,,41.327546,19.818698,South,22.89614737,98.85850758,40,20.181302,6.25,27.55164071,,,
C,1,wieliczka salt mine,Wieliczka,Poland,Europe,49.983462,20.053783,South,27.6916687,105.6179106,40,19.946217,6.25,27.20308784,,,
,,,Belgrade,Serbia,,44.786568,20.448922,South,24.81250305,101.4961754,40,19.551078,6.25,26.61955252,,,
,,,Warsaw,Poland,,52.229676,21.012229,South,28.93610859,107.4661861,40,18.987771,6.25,25.79257526,,,
,,,Sofia,Bulgaria,,42.697708,23.321868,South,23.65523989,99.89403717,40,16.678132,6.25,22.45781965,,,
C,1,parthenon,Athens,Greece,Europe,37.9714,23.72562,South,21.0367867,96.36955654,40,16.27438,6.25,21.88341566,,,
,,,Athens,Greece,,37.98381,23.727539,South,21.04366205,96.37864236,40,16.272461,6.25,21.88069125,,,
C,1,Blue-domed Church,Santorini,Greece,Europe,36.389606,25.460628,South,20.16044654,95.21819551,40,14.539372,6.25,19.4410164,,,
C,2,Victoria Falls,,Zambia and Zimbabwe,Africa,-17.92529,25.861138,South,-9.930908587,59.450441,40,14.138862,6.25,18.8828092,,,
,,,Bucharest,Romania,,44.426767,26.102538,South,24.61316731,101.21812,40,13.897462,6.25,18.54731115,,,
C,1,Agia Sofia,Instanbul,Turkey,Europe / Asia,41.008454,28.980085,South,22.7193651,98.61901991,40,11.019915,6.25,14.59798859,,,
